id,title,comment,date_to_open,date_to_close,is_published,embed_url,share_with,worksite_id,tag_id,tag,video_id,video_title,video_comments,video_original_filename,video_original_size,video_original_digest,video_original_duration_msec,thumbnail_filename,video_app_name,video_file_width,video_file_height,video_file_size,video_file_filename,video_file_pixel_aspect_ratio,video_file_display_aspect_ratio
5237,社会連携 第2回 名古屋大学公開講義 杉山先生 20190926,"",2019-10-07 13:28:00 +0900,,true,https://nuvideo.media.nagoya-u.ac.jp/embed/3bce27900878b9af1af79b55cc6e00eaf58793b3/autostart/true/caption/true,everyone,"",109,社会連携,5638,社会連携_sugiyama_20190926.mp4,"",社会連携_sugiyama_20190926.mp4,4347949379,d0c5d118905982fd28e206ecdd30a78e,5676300,5638.jpg,everyone,1280,720,4347949379,5638_d0c5d118905982fd28e206ecdd30a78e.mp4,1:1,16:9
5236,財務会計論理論　実力養成答練　第3回,"",2019-10-04 14:13:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/be3cd0ceeaafb18217f71e24a6cb97810abcfafe/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5632,20FATEST3.mp4,"",20FATEST3.mp4,1283812968,fc4cf9448df6321865f8af080644a8e6,6274760,5632.jpg,restrict,720,480,1283812968,5632_fc4cf9448df6321865f8af080644a8e6.mp4,1:1,3:2
5235,財務会計論理論　実力養成答練　第2回,"",2019-10-04 14:12:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/1e2efb7fff4ddeccf18dee1e5eaf04611b04abc5/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5631,20FATEST2.mp4,"",20FATEST2.mp4,1263902234,3faf9bae9763f1d1ab755f16e717a3f9,6171080,5631.jpg,restrict,720,480,1263902234,5631_3faf9bae9763f1d1ab755f16e717a3f9.mp4,1:1,3:2
5234,財務会計論理論　実力養成答練　第1回,"",2019-10-04 14:11:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/ea08fbc0d1093ba684ccce44e32b99b8ae1192f7/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5633,20FATEST1.mp4,"",20FATEST1.mp4,1240484187,e3b506c5fd17a9fbbdbd81ab94cad7f1,6061860,5633.jpg,restrict,720,480,1240484187,5633_e3b506c5fd17a9fbbdbd81ab94cad7f1.mp4,1:1,3:2
5233,監査論　実力養成答練　第4回,"",2019-10-04 14:10:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/378c02f91b258ba445f307f6af7725cca4894994/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5626,20AUDTEST4.mp4,"",20AUDTEST4.mp4,1325409832,0ffdad2d248a187c0361aae871a74e8d,6484970,5626.jpg,restrict,720,480,1325409832,5626_0ffdad2d248a187c0361aae871a74e8d.mp4,1:1,3:2
5232,監査論　実力養成答練　第3回,"",2019-10-04 14:09:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/4b1a0995a15d30360ab5046e87c5415efdf1c042/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5625,20AUDTEST3.mp4,"",20AUDTEST3.mp4,1481976498,107af7532b45a6f2510dde588c1fe0b8,7250530,5625.jpg,restrict,720,480,1481976498,5625_107af7532b45a6f2510dde588c1fe0b8.mp4,1:1,3:2
5231,監査論　実力養成答練　第2回,"",2019-10-04 14:08:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/037f258775e69be4294793512465628be3d42837/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5627,20AUDTEST2.mp4,"",20AUDTEST2.mp4,1470940966,dcc23ee2074d9338d1e84adedef204ed,7176870,5627.jpg,restrict,720,480,1470940966,5627_dcc23ee2074d9338d1e84adedef204ed.mp4,1:1,3:2
5230,統計学　第4講,"",2019-10-04 14:07:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/d02b38e5429b3079a770ae10b7f7c1bf65e2f8d4/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5636,20TOKE4.mp4,"",20TOKE4.mp4,873287256,09f95c1e28a0d3ab5dd1f7ce5a3243e7,4268330,5636.jpg,restrict,720,480,873287256,5636_09f95c1e28a0d3ab5dd1f7ce5a3243e7.mp4,1:1,3:2
5229,統計学　第3講,"",2019-10-04 14:06:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/8be16b3cd508473d3e5f937b73e33dcc8e36c23e/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5635,20TOKE3.mp4,"",20TOKE3.mp4,725203306,b0da0747fd346b09f3f5fe7e3eb34659,3541610,5635.jpg,restrict,720,480,725203306,5635_b0da0747fd346b09f3f5fe7e3eb34659.mp4,1:1,3:2
5228,経営学　第2講,"",2019-10-04 14:02:00 +0900,2020-08-31 23:59:00 +0900,true,https://nuvideo.media.nagoya-u.ac.jp/embed/a07b25ced407cf387c55193cea5b73da55c95053/autostart/true/caption/true,worksite,CertifiedPublicAccountant2018,105,公認会計士講座2018,5628,20BA2.mp4,"",20BA2.mp4,1214930481,d180b11bdd6191400be1aec73a1def60,5939460,5628.jpg,restrict,720,480,1214930481,5628_d180b11bdd6191400be1aec73a1def60.mp4,1:1,3:2
